"","Longitud","Latitud","Poblacio"
"Argelaguer",2.641698357,42.213401211,417
"Argençola",1.444155159,41.597531982,220
"Argentera, l'",0.909320776,41.137218897,126
"Argentona",2.400515899,41.555644039,12629
"Armentera, l'",3.072517841,42.17086694,998
"Arnes",0.260519691,40.910152571,441
"Arres",0.711147895,42.754979774,67
"Arsèguel",1.582876907,42.350100718,85
"Artés",1.95486944,41.798136994,5782
"Artesa de Lleida",0.703394598,41.551742575,1525
"Artesa de Segre",1.045473965,41.895438373,3441
"Ascó",0.567111344,41.180901343,1611
"Aspa",0.672320658,41.495646828,207
"Avellanes i Santa Linya, les",0.764299568,41.908109621,447
"Avià",1.82515717,42.077285956,2199
"Avinyó",1.970760811,41.863381428,2286
"Avinyonet de Puigventós",2.915250376,42.249367796,1657
"Avinyonet del Penedès",1.779376543,41.360977135,1701
"Badalona",2.247791638,41.450026028,223006
"Badia del Vallès",2.113905197,41.509030111,13228
"Bagà",1.86260099,42.252852974,2145
"Baix Pallars",1.064357054,42.32360869,342
"Balaguer",0.804588928,41.789718661,22409
"Balenyà",2.235188771,41.815372171,3900
"Balsareny",1.876819518,41.86321312,3278
"Banyeres del Penedès",1.580800344,41.27936622,3280
"Banyoles",2.763796776,42.116399088,25168
"Barbens",1.018365545,41.679218887,943
"Barberà de la Conca",1.227449026,41.41081942,472
"Barberà del Vallès",2.124669407,41.515796362,33016
"Barcelona",2.177241106,41.382405393,1641732
"Baronia de Rialb, la",1.19618638,41.932177024,229
"Bàscara",2.91017634,42.159561565,1015
"Bassella",1.294293646,42.00590676,224
"Batea",0.310763867,41.094904352,1879
"Bausen",0.716292102,42.834775548,66
"Begues",1.924677961,41.330173965,7356
"Begur",3.20732264,41.954456973,4039
"Belianes",1.017397869,41.56159093,521
"Bell-lloc d'Urgell",0.779505499,41.630022034,2329
"Bellaguarda",0.738299645,41.336780814,292
"Bellcaire d'Empordà",3.094515204,42.081011145,699
"Bellcaire d'Urgell",0.905573979,41.759238896,1225
"Bellmunt d'Urgell",0.952239022,41.773871046,182
"Bellmunt del Priorat",0.765313302,41.163988202,281
"Bellprat",1.434454531,41.517247322,73
"Bellpuig",1.012110106,41.625654517,5151
"Bellvei",1.576455639,41.241343346,2303
"Bellver de Cerdanya",1.774387211,42.37073001,2135
"Bellvís",0.817527266,41.672203636,2258
"Benavent de Segrià",0.634522237,41.694451633,1533
"Benifallet",0.517981377,40.974307959,741
"Benissanet",0.635144854,41.056672313,1129
"Berga",1.845845087,42.1037619,21682
"Besalú",2.699326775,42.198886073,2502
"Bescanó",2.743365182,41.965403352,5094
"Beuda",2.70981115,42.237126861,187
"Biosca",1.358077757,41.841632386,178
"Bisbal d'Empordà, la",3.038149687,41.959301158,16190
"Bisbal de Falset, la",0.723326471,41.280225617,218
"Bisbal del Penedès, la",1.487744296,41.280475727,3830
"Biure",2.895078275,42.338090056,244
"Blancafort",1.159223964,41.437936992,398
"Blanes",2.791605671,41.674034609,40274
"Boadella i les Escaules",2.857547428,42.331087464,271
"Bolvir",1.879863587,42.418480249,489
"Bonastre",1.439913737,41.22061386,727
"Bòrdes, Es",0.719236909,42.738039379,285
"Bordils",2.911498031,42.044044953,1796
"Borges Blanques, les",0.86916301,41.520628499,11195
"Borges del Camp, les",1.019587184,41.172030081,2104
"Borrassà",2.926166502,42.223058847,752
"Borredà",1.993986452,42.135636365,455
"Bossòst",0.691705542,42.783541931,1120
"Bot",0.384843145,41.008964518,566
"Botarell",0.988701528,41.136188139,1094
"Bovera",0.638921343,41.326541757,261
"Bràfim",1.341136631,41.268738017,695
"Breda",2.558967397,41.748485681,3836
"Bruc, el",1.780059385,41.580734449,2177
"Brull, el",2.305489017,41.816741112,275
"Brunyola i Sant Martí Sapresa",2.684319914,41.904692899,390
"Cabacés",0.733664655,41.247384835,312
"Cabanabona",1.217309912,41.851583775,60
"Cabanelles",2.819514826,42.230371435,266
"Cabanes",2.978060207,42.307207727,941
"Cabanyes, les",1.689614095,41.371736059,1005
"Cabó",1.246936817,42.238864544,94
"Cabra del Camp",1.276657071,41.395278969,1230
"Cabrera d'Anoia",1.703544417,41.477666434,1521
"Cabrera de Mar",2.393308926,41.526010285,4787
"Cabrils",2.367716483,41.526223857,7567
"Cadaqués",3.275849152,42.288251552,2820
"Calaf",1.511278933,41.734066475,3597
"Calafell",1.568712715,41.200955461,28463
"Calders",1.991322594,41.78927569,1063
"Caldes d'Estrac",2.527515728,41.57254213,3097
"Caldes de Malavella",2.809763769,41.838975945,8051
"Caldes de Montbui",2.162240112,41.634590716,17797
"Calella",2.65721784,41.613271421,19236
"Calldetenes",2.284270015,41.924124237,2504
"Callús",1.783871713,41.781240733,2098
"Calonge de Segarra",1.493838563,41.74049243,194
"Calonge i Sant Antoni",3.075838423,41.861071844,11484
"Camarasa",0.877764265,41.875255654,807
"Camarles",0.671407425,40.771913716,3220
"Cambrils",1.057802277,41.071033929,35064
"Camós",2.768048383,42.093822945,711
"Campdevànol",2.168005107,42.223409072,3225
"Campelles",2.141072148,42.294793517,149
"Campins",2.463909429,41.72452859,540
"Campllong",2.831229783,41.892714485,533
"Camprodon",2.365044902,42.311525549,2435
"Canejan",0.738490358,42.838367921,89
"Canet d'Adri",2.737062442,42.033349233,749
"Canet de Mar",2.582425003,41.588484712,14810
"Canonja, la",1.178965575,41.122908604,5933
"Canovelles",2.276970352,41.621756753,16872
"Cànoves i Samalús",2.352943715,41.693919367,3219
"Cantallops",2.925957603,42.422682424,305
"Canyelles",1.722358067,41.285755981,4886
"Capafonts",1.027284083,41.2955744,125
"Capçanes",0.78130284,41.10014659,394
"Capellades",1.685814119,41.530912121,5314
"Capmany",2.920941486,42.372624586,618
"Capolat",1.753178363,42.077236538,84
"Cardedeu",2.355346668,41.638291792,18609
"Cardona",1.680327797,41.913110351,4593
"Carme",1.62304521,41.530897864,768
"Caseres",0.25057195,41.038568573,226
"Cassà de la Selva",2.874290931,41.884851215,10505
"Casserres",1.841287149,42.014360096,1636
"Castell de l'Areny",1.945196781,42.173216064,72
"Castell de Mur",0.87642989,42.091658253,169
"Castell-Platja d'Aro",3.067081286,41.817447752,11455
"Castellar de la Ribera",1.415558053,42.022652543,136
"Castellar de n'Hug",2.017208352,42.282875139,167
"Castellar del Riu",1.708727309,42.131049322,171
"Castellar del Vallès",2.087635113,41.618557011,24659
"Castellbell i el Vilar",1.860478136,41.629392366,3853
"Castellbisbal",1.981226635,41.474875242,12610
"Castellcir",2.148900039,41.760737454,753
"Castelldans",0.765325275,41.496613288,900
"Castelldefels",1.976232924,41.280269457,67226
"Castellet i la Gornal",1.590703884,41.253400018,2452
"Castellfollit de la Roca",2.549651308,42.219498788,939
"Castellfollit de Riubregós",1.437574989,41.776073793,163
"Castellfollit del Boix",1.683366337,41.667189158,448
"Castellgalí",1.838589454,41.675209484,2179
"Castellnou de Bages",1.836910755,41.834129702,1420
"Castellnou de Seana",0.971241769,41.648220142,692
"Castelló d'Empúries",3.074791957,42.258576569,11154
"Castelló de Farfanya",0.727346844,41.820267282,529
"Castellolí",1.700317601,41.598316481,653
"Castellserà",0.986964286,41.74684408,976
"Castellterçol",2.12050299,41.751561829,2632
"Castellvell del Camp",1.096907219,41.180553391,2873
"Castellví de la Marca",1.61821029,41.326431737,1597
"Castellví de Rosanes",1.89951114,41.450055318,1996
"Catllar, el",1.326137929,41.175478077,4740
"Cava",1.58440322,42.325353373,46
"Cellera de Ter, la",2.622234819,41.967469921,1973
"Celrà",2.874392042,42.026555381,5606
"Centelles",2.219100119,41.797698485,7595
"Cercs",1.861924391,42.146050305,1190
"Cerdanyola del Vallès",2.140715332,41.491023421,57217
"Cervelló",1.958951323,41.396113524,9233
"Cervera",1.27125747,41.665808322,14328
"Cervià de les Garrigues",0.859217612,41.424627618,665
"Cervià de Ter",2.910632032,42.067236264,973
"Cistella",2.848205461,42.268464384,282
"Ciutadilla",1.138813382,41.561607011,202
"Clariana de Cardener",1.624774181,41.933915092,158
"Cogul, el",0.689520695,41.466722315,143
"Colera",3.150655224,42.403880308,462
"Coll de Nargó",1.315645723,42.173519574,548
"Collbató",1.829521495,41.567296368,4655
"Colldejou",0.888307781,41.100058321,167
"Collsuspina",2.175314238,41.825797637,387
"Colomers",2.987081633,42.084382369,188
"Coma i la Pedra, la",1.589798104,42.175919911,277
"Conca de Dalt",0.971426812,42.244784653,421
"Conesa",1.291294091,41.518605353,106
"Constantí",1.213727473,41.153087277,6724
"Copons",1.518223006,41.63639337,322
"Corbera d'Ebre",0.47815365,41.077729157,981
"Corbera de Llobregat",1.927701004,41.416102388,15017
"Corbins",0.692910362,41.690650989,1499
"Corçà",3.017294311,41.989821083,1275
"Cornellà de Llobregat",2.070159567,41.355171447,89300
"Cornellà del Terri",2.815658025,42.089144574,2422
"Cornudella de Montsant",0.904950072,41.26504071,965
"Creixell",1.440627272,41.167739325,3912
"Crespià",2.797909523,42.187780537,270
"Cruïlles, Monells i Sant Sadurní de l'Heura",2.990943737,41.956416241,1327
"Cubelles",1.672526156,41.208250975,16051
"Cubells",0.95713334,41.852745537,357
"Cunit",1.634836815,41.198093014,14081
"Darnius",2.832141614,42.368212507,540
"Das",1.870114118,42.361620403,248
"Deltebre",0.722777588,40.719605167,11539
"Dosrius",2.405853754,41.594675414,5685
"Duesaigües",0.930692032,41.146053259,234
"Escala, l'",3.133767625,42.125058782,10497
"Esparreguera",1.870708537,41.538966192,22358
"Espinelves",2.417880772,41.868866418,239
"Espluga Calba, l'",1.004775522,41.494915263,328
"Espluga de Francolí, l'",1.104490009,41.396371031,3717
"Esplugues de Llobregat",2.087992375,41.377697766,46777
"Espolla",3.000690169,42.391272928,412
"Esponellà",2.797006406,42.177357963,469
"Espot",1.089974016,42.575409277,366
"Espunyola, l'",1.767745419,42.053555772,258
"Esquirol, l'",2.368244029,42.035508055,2198
"Estamariu",1.522838904,42.373433749,129
"Estany, l'",2.112454961,41.86860715,408
"Estaràs",1.378411547,41.691960754,172
"Esterri d'Àneu",1.123235174,42.628297816,832
"Esterri de Cardós",1.262041281,42.592214719,64
"Falset",0.820118665,41.146184992,7724
"Far d'Empordà, el",2.996371933,42.251947369,619
"Farrera",1.271152918,42.504999611,116
"Fatarella, la",0.473149679,41.162340268,917
"Febró, la",1.003933683,41.277220742,41
"Figaró-Montmany",2.273365617,41.721699343,1127
"Fígols",1.836761574,42.181006145,46
"Fígols i Alinyà",1.340241294,42.202729199,260
"Figuera, la",0.732035727,41.216519185,117
"Figueres",2.960886614,42.267209601,52043
"Figuerola del Camp",1.26531658,41.371915239,336
"Flaçà",2.958136746,42.047097396,1147
"Flix",0.549946451,41.231281807,3451
"Floresta, la",0.919841953,41.50984771,145
"Fogars de la Selva",2.671432557,41.735098882,1540
"Fogars de Montclús",2.443167054,41.727636577,467
"Foixà",2.998025075,42.038863738,299
"Folgueroles",2.318462912,41.938626824,2269
"Fondarella",0.873515184,41.634642479,781
"Fonollosa",1.668695995,41.762934129,1495
"Font-rubí",1.651028415,41.413940013,1440
"Fontanals de Cerdanya",1.899470415,42.384997027,506
"Fontanilles",3.108405998,42.009936643,157
"Fontcoberta",2.789517726,42.142869761,1468
"Foradada",1.012813872,41.877156845,195
"Forallac",3.055092224,41.959744518,1708
"Forès",1.235491145,41.493364525,48
"Fornells de la Selva",2.810456867,41.934626922,2700
"Fortià",3.040426933,42.242434209,793
"Franqueses del Vallès, les",2.297161105,41.636306728,20351
"Freginals",0.519922755,40.671895906,391
"Fuliola, la",1.019023032,41.714560321,1247
"Fulleda",1.02431182,41.463053091,101
"Gaià",1.925435009,41.916529234,189
"Galera, la",0.463731007,40.681556137,723
"Gallifa",2.115699161,41.693114631,183
"Gandesa",0.439107295,41.052083416,8098
"Garcia",0.648705737,41.136676727,535
"Garidells, els",1.247606439,41.207264707,198
"Garriga, la",2.285838545,41.685307859,16733
"Garrigàs",2.954141859,42.193496419,464
"Garrigoles",3.030486814,42.107219364,170
"Garriguella",3.064692114,42.344512518,909
"Gavà",2.004774201,41.306118866,46931
"Gavet de la Conca",0.920462441,42.123187991,262
"Gelida",1.863167973,41.440928938,7723
"Ger",1.845525258,42.410628541,502
"Gimenells i el Pla de la Font",0.389850706,41.652278878,1118
"Ginestar",0.633663591,41.041814811,787
"Girona",2.824865628,41.983155443,106932
"Gironella",1.882846227,42.03383842,4916
"Gisclareny",1.786464763,42.250037078,27
"Godall",0.468609637,40.655582407,614
"Golmés",0.933110148,41.632608254,1855
"Gombrèn",2.090942855,42.247855166,196
"Gósol",1.660625117,42.237038372,232
"Granada, la",1.719478586,41.376882069,2207
"Granadella, la",0.665377869,41.355227658,705
"Granera",2.057173474,41.725417156,85
"Granja d'Escarp, la",0.352158006,41.41837797,931
"Granollers",2.286822072,41.60808662,67475
"Granyanella",1.228114284,41.666441772,145
"Granyena de les Garrigues",0.650071322,41.432562442,154
"Granyena de Segarra",1.246309237,41.623578532,159
"Gratallops",0.777456951,41.193638209,237
"Gualba",2.501920371,41.732046397,1585
"Gualta",3.103665683,42.02849475,421
"Guardiola de Berguedà",1.878810946,42.233220705,929
"Guiamets, els",0.752965188,41.101849105,276
"Guils de Cerdanya",1.879209626,42.448382255,588
"Guimerà",1.183629776,41.564205097,263
"Guingueta d'Àneu, la",1.131988036,42.594296717,300
"Guissona",1.288303003,41.784648383,7291
"Guixers",1.666343154,42.132434068,126
"Gurb",2.243276016,41.940489059,2705
"Horta de Sant Joan",0.31686019,40.953830826,1138
"Hospitalet de Llobregat, l'",2.099712098,41.359459666,264657
"Hostalets de Pierola, els",1.770752125,41.53379831,3064
"Hostalric",2.641346718,41.74580856,4332
"Igualada",1.617581375,41.57871621,45875
"Isona i Conca Dellà",1.043875564,42.116968562,1060
"Isòvol",1.837272363,42.397709757,314
"Ivars d'Urgell",0.98674138,41.68195747,1553
"Ivars de Noguera",0.58584905,41.850336833,335
"Ivorra",1.395661121,41.771461716,110
"Jafre",3.010759556,42.071965546,382
"Jonquera, la",2.87315709,42.416903579,3340
"Jorba",1.548645289,41.601802496,825
"Josa i Tuixén",1.566512595,42.231225931,100
"Juià",2.907342846,42.017949485,327
"Juncosa",0.775456987,41.371436095,397
"Juneda",0.825199319,41.548707644,3569
"Les",0.709878949,42.810153433,966
"Linyola",0.904373528,41.710413416,2724
"Llacuna, la",1.532021048,41.472480457,917
"Lladó",2.813404691,42.247698821,845
"Lladorre",1.249167838,42.621614112,244
"Lladurs",1.507628611,42.044669154,187
"Llagosta, la",2.193612736,41.513120028,13259
"Llagostera",2.891817464,41.828810091,8851
"Llambilles",2.859278593,41.921051566,730
"Llanars",2.344137229,42.320954482,535
"Llançà",3.150763207,42.362011252,4842
"Llardecans",0.550502483,41.374094929,429
"Llavorsí",1.208870332,42.497460192,345
"Lleida",0.626842574,41.614730589,145080
"Llers",2.911609249,42.29630565,1252
"Lles de Cerdanya",1.687061793,42.390291653,288
"Lliçà d'Amunt",2.239433257,41.608466785,15673
"Lliçà de Vall",2.239084658,41.58630762,6580
"Llimiana",0.916202262,42.075144065,155
"Llinars del Vallès",2.404620012,41.639151852,10116
"Llívia",1.981799668,42.465078641,1504
"Lloar, el",0.750961695,41.185878398,111
"Llobera",1.463218405,41.92241632,187
"Llorac",1.307155552,41.556506861,92
"Llorenç del Penedès",1.552917107,41.282935118,2381
"Lloret de Mar",2.847602852,41.698615649,38402
"Llosses, les",2.119950002,42.150948452,209
"Lluçà",2.073264042,42.068082291,271
"Maçanet de Cabrenys",2.750387891,42.386056512,729
"Maçanet de la Selva",2.731325675,41.776371392,7349
"Madremanya",2.957521494,41.990256196,296
"Maià de Montcal",2.742740958,42.22211068,469
"Maials",0.504199067,41.364881953,926
"Maldà",1.040176789,41.551101926,237
"Malgrat de Mar",2.740742879,41.645501427,18950
"Malla",2.234413951,41.886588129,276
"Manlleu",2.283578064,41.999939102,20804
"Manresa",1.826928753,41.723055286,83192
"Marçà",0.803144969,41.126788575,612
"Margalef",0.754172771,41.284489964,104
"Marganell",1.793045527,41.640290978,271
"Martorell",1.930730461,41.474336102,28667
"Martorelles",2.242767079,41.525703888,4823
"Mas de Barberans",0.37387819,40.735666751,572
"Masarac",2.972460262,42.3509675,284
"Masdenverge",0.531709388,40.71544069,1109
"Masies de Roda, les",2.30771889,41.989567361,704
"Masies de Voltregà, les",2.23487791,42.022393728,3178
"Masllorenç",1.415351919,41.26962478,508
"Masnou, el",2.319018119,41.479161716,23848
"Masó, la",1.222709035,41.234805901,283
"Maspujols",1.045839079,41.181946462,826
"Masquefa",1.81185265,41.50189427,9623
"Masroig, el",0.731302487,41.12666805,499
"Massalcoreig",0.359348357,41.459164073,599
"Massanes",2.651939379,41.766458206,803
"Massoteres",1.310765521,41.797264755,223
"Matadepera",2.026747357,41.596641888,9672
"Mataró",2.444896864,41.539809903,134120
"Mediona",1.611341144,41.476788767,2419
"Menàrguens",0.743889689,41.729138822,789
"Meranges",1.786916351,42.445774428,97
"Mieres",2.639889942,42.124160173,349
"Milà, el",1.206824514,41.248227432,191
"Miralcamp",0.88020209,41.604594086,1366
"Miravet",0.597512982,41.038139374,685
"Moià",2.096923027,41.812869119,11474
"Molar, el",0.706156478,41.163750749,298
"Molins de Rei",2.015962183,41.413593959,26104
"Mollerussa",0.894030377,41.629810691,19545
"Mollet de Peralada",3.000572131,42.358588473,197
"Mollet del Vallès",2.210310853,41.535411838,51151
"Molló",2.404208714,42.346805311,347
"Molsosa, la",1.541023401,41.783277943,102
"Monistrol de Calders",2.014631919,41.760322586,716
"Monistrol de Montserrat",1.842759667,41.609790725,3178
"Mont-ral",1.096974798,41.286909924,169
"Mont-ras",3.144717363,41.907723904,1672
"Mont-roig del Camp",0.958121082,41.087304542,12689
"Montagut i Oix",2.59616617,42.23146439,951
"Montblanc",1.161386523,41.376776963,12433
"Montbrió del Camp",1.003792637,41.120681064,2985
"Montcada i Reixac",2.187770377,41.485795664,36794
"Montclar",1.765071661,42.018209187,136
"Montellà i Martinet",1.695252157,42.360120314,596
"Montesquiu",2.209866277,42.109893569,1048
"Montferrer i Castellbò",1.428016981,42.341270894,1081
"Montferri",1.365731905,41.26529763,397
"Montgai",0.961368967,41.799907977,655
"Montgat",2.278681615,41.466945198,12260
"Montmajor",1.734842842,42.017415526,472
"Montmaneu",1.414420497,41.62613551,158
"Montmell, el",1.453796685,41.315563928,1730
"Montmeló",2.247898536,41.551517208,8798
"Montoliu de Lleida",0.588368512,41.560150818,493
"Montoliu de Segarra",1.269958038,41.590269396,191
"Montornès de Segarra",1.230695659,41.601065545,91
"Montornès del Vallès",2.267313544,41.54526095,16804
"Montseny",2.395354738,41.759153989,362
"Móra d'Ebre",0.641767088,41.093142922,10585
"Móra la Nova",0.650840627,41.100142386,3120
"Morell, el",1.208726943,41.192108029,3732
"Morera de Montsant, la",0.841974773,41.265228422,163
"Muntanyola",2.177584873,41.878409918,655
"Mura",1.976188317,41.699541071,231
"Nalec",1.115201518,41.559825654,88
"Naut Aran",0.902445048,42.707192461,1941
"Navarcles",1.903759781,41.751626892,6068
"Navàs",1.879336762,41.899840834,5973
"Navata",2.860538506,42.223745726,1434
"Navès",1.636754845,41.992269144,293
"Nou de Berguedà, la",1.885103187,42.165884405,176
"Nou de Gaià, la",1.373803061,41.182833516,616
"Nulles",1.295178559,41.249492293,516
"Odèn",1.387099236,42.133623075,253
"Òdena",1.641588518,41.606742091,3681
"Ogassa",2.277413077,42.265841438,240
"Olèrdola",1.721133883,41.321018469,3847
"Olesa de Bonesvalls",1.850758765,41.351704507,1923
"Olesa de Montserrat",1.893900541,41.543505944,24132
"Oliana",1.31194814,42.066158092,1857
"Oliola",1.174256928,41.875964176,201
"Olius",1.556913968,41.977346272,962
"Olivella",1.812242091,41.310311558,4127
"Olost",2.095728143,41.985806687,1190
"Olot",2.484354623,42.183182657,41299
"Oluges, les",1.320031043,41.696769509,169
"Olvan",1.906973539,42.056997671,874
"Omellons, els",0.95990685,41.501124403,202
"Omells de na Gaia, els",1.07510478,41.500680291,127
"Ordis",2.906720201,42.218772993,369
"Organyà",1.327366452,42.210716993,766
"Orís",2.239282559,42.058223954,339
"Oristà",2.060357752,41.932365764,547
"Orpí",1.60692923,41.529003828,154
"Òrrius",2.35494046,41.555084531,779
"Os de Balaguer",0.718450186,41.870726394,1000
"Osor",2.556211062,41.945603494,426
"Ossó de Sió",1.159428883,41.754635815,196
"Pacs del Penedès",1.669009697,41.36151537,915
"Palafolls",2.749412882,41.667246003,9646
"Palafrugell",3.164065976,41.914954578,23046
"Palamós",3.129581349,41.846660808,18196
"Palau d'Anglesola, el",0.880824357,41.651646425,2205
"Palau de Santa Eulàlia",2.964362863,42.173541826,111
"Palau-sator",3.111179563,41.989327893,323
"Palau-saverdera",3.14812057,42.30735638,1490
"Palau-solità i Plegamans",2.178421008,41.58754343,14917
"Pallaresos, els",1.271857414,41.175359814,4872
"Pallejà",1.996775252,41.422579897,11636
"Palma d'Ebre, la",0.665882597,41.282508152,334
"Palma de Cervelló, la",1.971237761,41.411203329,3015
"Palol de Revardit",2.795806377,42.06935071,446
"Pals",3.145078573,41.971077096,2516
"Papiol, el",2.010961168,41.438024248,4232
"Pardines",2.214123574,42.312374597,166
"Parets del Vallès",2.233577244,41.573165532,18907
"Parlavà",3.031775971,42.023843802,413
"Passanant i Belltall",1.196922058,41.531863844,167
"Pau",3.1168817,42.316236729,588
"Paüls",0.400164063,40.922379434,563
"Pedret i Marzà",3.068686953,42.310205822,187
"Penelles",0.965598414,41.757972443,443
"Pera, la",2.973590405,42.020496326,448
"Perafita",2.106999046,42.042266806,412
"Perafort",1.255500189,41.190720894,1275
"Peralada",3.00798995,42.30792626,1945
"Peramola",1.267448373,42.057137291,348
"Perelló, el",0.712002694,40.874960691,2846
"Piera",1.743364446,41.518136198,16411
"Piles, les",1.342395363,41.503834423,218
"Pineda de Mar",2.689529503,41.627522457,27974
"Pinell de Brai, el",0.51568904,41.017805032,998
"Pinell de Solsonès",1.418757039,41.950155939,188
"Pinós",1.541994622,41.827370473,290
"Pira",1.202295244,41.423929996,498
"Pla de Santa Maria, el",1.288826246,41.365356337,2340
"Pla del Penedès, el",1.710276206,41.418366214,1306
"Planes d'Hostoles, les",2.536909351,42.055936308,1711
"Planoles",2.103610131,42.316346786,311
"Plans de Sió, els",1.197033473,41.761371051,503
"Poal, el",0.856863782,41.678379594,667
"Pobla de Cérvoles, la",0.915289225,41.36804868,198
"Pobla de Claramunt, la",1.675296009,41.555022308,2207
"Pobla de Lillet, la",1.974683055,42.243380426,1063
"Pobla de Mafumet, la",1.209284685,41.187588664,4025
"Pobla de Massaluca, la",0.353860191,41.181187304,341
"Pobla de Montornès, la",1.414486274,41.178823239,2999
"Pobla de Segur, la",0.969082431,42.249955624,3050
"Poboleda",0.845276091,41.232702878,328
"Polinyà",2.156245284,41.55760939,8494
"Pont d'Armentera, el",1.362939374,41.383748939,493
"Pont de Bar, el",1.605152752,42.372213008,174
"Pont de Molins",2.925538693,42.314643076,518
"Pont de Suert, el",0.740819954,42.407731665,7331
"Pont de Vilomara i Rocafort, el",1.87062396,41.700065814,4016
"Pontils",1.387396068,41.477524726,138
"Pontons",1.516619317,41.415735872,523
"Pontós",2.916807482,42.186731952,264
"Ponts",1.186369339,41.915333923,2629
"Porqueres",2.778059867,42.104307015,4701
"Porrera",0.856129608,41.188257409,428
"Port de la Selva, el",3.204538207,42.338598087,1010
"Portbou",3.16246997,42.426380488,1095
"Portella, la",0.639175932,41.739635922,727
"Pradell de la Teixeta",0.875646887,41.15619339,164
"Prades",0.988191149,41.309794099,602
"Prat de Comte",0.405237276,40.983568145,186
"Prat de Llobregat, el",2.093044846,41.330736272,65532
"Pratdip",0.871294807,41.051178749,680
"Prats de Lluçanès",2.028590923,42.008646719,2634
"Prats de Rei, els",1.542081512,41.705537756,551
"Prats i Sansor",1.836956242,42.36492897,251
"Preixana",1.03860185,41.606901506,391
"Preixens",1.050887005,41.79405026,421
"Premià de Dalt",2.34246115,41.507311014,10419
"Premià de Mar",2.35678569,41.489809495,28523
"Preses, les",2.460804364,42.142156741,1875
"Prullans",1.736184762,42.379135307,246
"Puig-reig",1.87898946,41.97413283,4289
"Puigcerdà",1.926947695,42.432630325,14518
"Puigdàlber",1.701100137,41.404279647,551
"Puiggròs",0.889455565,41.551719317,265
"Puigpelat",1.297636558,41.278722708,1196
"Puigverd d'Agramunt",1.12164226,41.777805619,230
"Puigverd de Lleida",0.733536105,41.543703841,1384
"Pujalt",1.422600785,41.71733521,206
"Quar, la",1.96148824,42.080887623,51
"Quart",2.839936624,41.939769466,3856
"Queralbs",2.162693687,42.34849447,191
"Querol",1.397736804,41.423311341,544
"Rabós",3.027717715,42.379336378,206
"Rajadell",1.70622668,41.727696301,549
"Rasquera",0.597134391,41.00136649,846
"Regencós",3.171880236,41.952855039,282
"Rellinars",1.910774943,41.637431146,868
"Renau",1.31123847,41.225338359,155
"Reus",1.108491969,41.155016386,111084
"Rialp",1.135992931,42.443985096,658
"Riba-roja d'Ebre",0.487657559,41.250925064,1117
